Name;Category;Price;NetPrice;DeliveryTime;DeliveryCost;Description;Url
Tok Samsung i9190 Galaxy S4 Mini View Cover flipes hátlap on/off funkcióval - EF-CI919BEGSTD utángyártott - dark blue;Tokok és táskák > S-View Flip Cover tokok > Samsung;35158;27683;6;990;;http://tesztbolt.hu/HF-DZ-386/Samsung-i9190-Galaxy-S4-Mini-View-Cover-flipes-hat
Tok Apple iPhone 6 Plus/6S Plus hátlap - Muvit Frame TPU - clear/silver;iPhone 3/4/5/6/7 tartozékok > Telefon hátlapok > iPhone 6 Plus/6S Plus;4589;3613;6;990;;http://tesztbolt.hu/HF-I-MUSKI0574/Apple-iPhone-6-Plus-6S-Plus-hatlap-Muvit-Frame-TPU
Samsung T375/T377 Galaxy Tab E 8.0 képernyővédő fólia - 1 db/csomag (Crystal);Képernyővédő fóliák és üvegek > Samsung;32358;25479;6;990;Crystal - átlátszó védőfólia: kontrasztos és hatékonyan véd a karcolások ellen 1 db fólia a csomagban Tökéletes illeszkedés a képernyő alakjához (lézer technológiával vágott) A felhelyezéssel a színek megjelenítése és a felbontás nem változik Maradvány nélkül eltávolítható Az EasyApp KIT segítségével egyszerű a fólia felhelyezése Nem befolyásolja az érintőképernyő érzékenységét és olvashatóságot Tartós és vékony - 3H keménységű Véd a karcolásoktól és a szennyeződésektől Antibakteriális bevonattal rendelkezik (colon bacillus és staphylococcus) A felhelyezés előtt gondosan zsírtalanítsa a felületet Csomag tartalma: védőfólia típusra szabott: 1x Crystal (tökéletesen az adott képernyő alakjára szabott) törlőkendő, EasyApp KIT a könnyű felhelyezéshez, segédeszköz a felsimításhoz, lehúzók (ragasztócsíkok a leválasztandó réteg megfogásához), használati utasítás;http://tesztbolt.hu/HF-LA-1020/Samsung-T375-T377-Galaxy-Tab-E-8-0-kepernyovedo-fo
Tok Apple iPhone 5/5S/SE védőtok - OtterBox Defender - black;Telefon hátlapok > Ütésálló hátlapok > Apple;11732;9238;6;990;Hatékony védelmet nyújthat iPhone 5/5S készülékének megtartva a könnyed hozzáférést minden funkciójához, ezzel a OtterBox Defender védő tokkal. Az ütésekkel és a karcolásokkal szembeni tökéletes védelem érdekében ez a Defender egy tapadó és átlátszó filmréteggel védi a képernyőt és a billentyűzetet, szilikon és polikarbonát tokkal. 3 rétegben védi a telefont - 1. réteg: átlátszó védőmembrán a képernyőn - 2. réteg: polikarbonát héj - 3. réteg: tartós szilikon bőr;http://tesztbolt.hu/HF-OT77-35111/Apple-iPhone-5-5S-SE-vedotok-OtterBox-Defender-bla
Tok Apple iPhone 7 szilikon hátlap - Jelly Electro - gold;iPhone 3/4/5/6/7 tartozékok > Telefon hátlapok > iPhone 7;40590;31961;6;990;;http://tesztbolt.hu/HF-PT-3468/Apple-iPhone-7-szilikon-hatlap-Jelly-Electro-gold
Sony Xperia Z3 Ultra gyári akkumulátor - Li-Polymer 3100 mAh - AGPB013-A001 (bontott/bevizsgált);Gyári tartozékok > Akkumulátorok > Sony;32923;25924;6;990;Az akkumulátor egy hónapon belül visszavett telefonból lett kibontva. Kapacitása tesztelve van, így az minden esetben megegyezik az új akkumulátoréval, de ára jóval kedvezőbb. Csomagolása nylon tasak. KIZÁRÓLAG SZAKSZERVÍZBEN BESZERELHETŐ! GARANCIÁLIS REKLAMÁCIÓT CSAK A BESZERELÉST VÉGZŐ SZAKSZERVÍZ ÍRÁSOS VÉLEMÉNYÉVEL FOGADUNK EL!;http://tesztbolt.hu/HF-SER-0418/Sony-Xperia-Z3-Ultra-gyari-akkumulator-Li-Polymer
Tok Apple iPhone 7 Plus oldalra nyíló flipes tok - Nillkin Sparkle - gold;Tokok és táskák > Nillkin > Nillkin Sparkle > Apple;8524;6712;6;990;A Sparkle tokok válogatott bőrből és környezetbarát műanyagból készültek. A vékony kagylóforma kialakítás és a finom anyagok kiváló látványt nyújtanak. A puha légáteresztő belső rész megvédi a kijelzőt. A hátoldal magas minőségű műanyagból készült ékszerek ihlette színekkel, lenyűgüző látványt nyújtva. Az egységes fedél és hátlap rendkívül tartós, ütésálló és egyszerűen gyönyörű.;http://tesztbolt.hu/HF-NL127760/Apple-iPhone-7-Plus-oldalra-nyilo-flipes-tok-Nillk
Tok Samsung N7100 Galaxy Note II tok - EFC-1J9LBEGSTD - black;Tokok és táskák > Gyári tokok, táskák > Samsung;16146;12713;6;990;;http://tesztbolt.hu/HF-SAM-0388/Samsung-N7100-Galaxy-Note-II-tok-EFC-1J9LBEGSTD-bl
Coolpad Modena képernyővédő fólia - 2 db/csomag (Crystal/Antireflex HD);Képernyővédő fóliák és üvegek > Coolpad;35674;28090;6;990;Crystal - átlátszó védőfólia: kontrasztos és hatékonyan véd a karcolások ellen AntiReflex HD - enyhén matt védőfólia: csökkenti a tükröződést és az ujjlenyomatokat 2 db fólia a csomagban nagy felbontású kijelzőkhöz is ajánlott (Retina, HD) Tökéletes illeszkedés a képernyő alakjához (lézer technológiával vágott) A felhelyezéssel a színek megjelenítése és a felbontás nem változik Maradvány nélkül eltávolítható Az EasyApp KIT segítségével egyszerű a fólia felhelyezése Nem befolyásolja az érintőképernyő érzékenységét és olvashatóságot Tartós és vékony - 3H keménységű Véd a karcolásoktól és a szennyeződésektől Antibakteriális bevonattal rendelkezik (colon bacillus és staphylococcus) A felhelyezés előtt gondosan zsírtalanítsa a felületet Csomag tartalma: védőfólia típusra szabott: 1x Crystal, 1x AntiReflex HD (tökéletesen az adott képernyő alakjára szabott) törlőkendő, EasyApp KIT a könnyű felhelyezéshez, segédeszköz a felsimításhoz, lehúzók (ragasztócsíkok a leválasztandó réteg megfogásához), használati utasítás;http://tesztbolt.hu/HF-LA-915/Coolpad-Modena-kepernyovedo-folia-2-db-csomag-Crys
Tok Sony Xperia Z3+ (E6553)/Z4 hátlap - Case-Mate Barely There - clear;Telefon hátlapok > Sony;38614;30405;6;990;;http://tesztbolt.hu/HF-CM032675/Sony-Xperia-Z3-E6553-Z4-hatlap-Case-Mate-Barely-Th
Huawei P10 Plus képernyővédő fólia - 2 db/csomag (Crystal/Antireflex HD);Képernyővédő fóliák és üvegek > Huawei;48033;37821;6;990;Crystal - átlátszó védőfólia: kontrasztos és hatékonyan véd a karcolások ellen AntiReflex HD - enyhén matt védőfólia: csökkenti a tükröződést és az ujjlenyomatokat 2 db fólia a csomagban nagy felbontású kijelzőkhöz is ajánlott (Retina, HD) Tökéletes illeszkedés a képernyő alakjához (lézer technológiával vágott) A felhelyezéssel a színek megjelenítése és a felbontás nem változik Maradvány nélkül eltávolítható Az EasyApp KIT segítségével egyszerű a fólia felhelyezése Nem befolyásolja az érintőképernyő érzékenységét és olvashatóságot Tartós és vékony - 3H keménységű Véd a karcolásoktól és a szennyeződésektől Antibakteriális bevonattal rendelkezik (colon bacillus és staphylococcus) A felhelyezés előtt gondosan zsírtalanítsa a felületet Csomag tartalma: védőfólia típusra szabott: 1x Crystal, 1x AntiReflex HD (tökéletesen az adott képernyő alakjára szabott) törlőkendő, EasyApp KIT a könnyű felhelyezéshez, segédeszköz a felsimításhoz, lehúzók (ragasztócsíkok a leválasztandó réteg megfogásához), használati utasítás;http://tesztbolt.hu/HF-LA-1156/Huawei-P10-Plus-kepernyovedo-folia-2-db-csomag-Cry
Tok Sony Xperia E4G (E2003) szilikon hátlap - Ultra Slim 0, 3 mm - transparent;Telefon hátlapok > Sony;30007;23628;6;990;;http://tesztbolt.hu/HF-PT-2349/Sony-Xperia-E4G-E2003-szilikon-hatlap-Ultra-Slim-0
Tok Samsung G950F Galaxy S8 hátlap - Nillkin Synthetic Fiber - fekete;Telefon hátlapok > Nillkin > Nillkin Synthetic Fiber;45023;35451;6;990;;http://tesztbolt.hu/HF-NL139978/Samsung-G950F-Galaxy-S8-hatlap-Nillkin-Synthetic-F
Tok Google Pixel oldalra nyíló flipes tok - Nillkin Qin - fehér;Tokok és táskák > Nillkin > Nillkin Qin > Google;29914;23554;6;990;Nillkin Qin bőrtok természetes textúrájú, kiváló tapintású bőrből készült flipes tok elegáns stílusban. A lágy finom bélés csúszásgátló anyagának köszönhetően nem csak védi készülékét a szennyeződésektől, hanem ötvözi a divatot a hasznossággal. A klasszikus felhajtható bőr fedél 360 fokos védelmet biztosít mobiltelefonjának. A fedél belső oldalán található nyílásban kényelmesen tárolhatja kártyáját. A fedlapon található nikkelből készült logó még elegánsabbá, stílusosabbá teszi a tokot. - Felhelyezése nagyon egyszerű és gyors - Megvédi készüléke kijelzőjét a karcolásoktól is;http://tesztbolt.hu/HF-NL132955/Google-Pixel-oldalra-nyilo-flipes-tok-Nillkin-Qin
Google Pixel XL képernyővédő fólia - 2 db/csomag (Crystal/Antireflex HD);Képernyővédő fóliák és üvegek > Google Nexus;13721;10804;6;990;Crystal - átlátszó védőfólia: kontrasztos és hatékonyan véd a karcolások ellen AntiReflex HD - enyhén matt védőfólia: csökkenti a tükröződést és az ujjlenyomatokat 2 db fólia a csomagban nagy felbontású kijelzőkhöz is ajánlott (Retina, HD) Tökéletes illeszkedés a képernyő alakjához (lézer technológiával vágott) A felhelyezéssel a színek megjelenítése és a felbontás nem változik Maradvány nélkül eltávolítható Az EasyApp KIT segítségével egyszerű a fólia felhelyezése Nem befolyásolja az érintőképernyő érzékenységét és olvashatóságot Tartós és vékony - 3H keménységű Véd a karcolásoktól és a szennyeződésektől Antibakteriális bevonattal rendelkezik (colon bacillus és staphylococcus) A felhelyezés előtt gondosan zsírtalanítsa a felületet Csomag tartalma: védőfólia típusra szabott: 1x Crystal, 1x AntiReflex HD (tökéletesen az adott képernyő alakjára szabott) törlőkendő, EasyApp KIT a könnyű felhelyezéshez, segédeszköz a felsimításhoz, lehúzók (ragasztócsíkok a leválasztandó réteg megfogásához), használati utasítás;http://tesztbolt.hu/HF-LA-1057/Google-Pixel-XL-kepernyovedo-folia-2-db-csomag-Cry
Tok Samsung SM-G900 Galaxy S5 alumínium hátlap - silver;Tokok és táskák > Pierre Cardin tokok > Hátlapok;32791;25820;6;990;Pierre Cardin;http://tesztbolt.hu/HF-BCALSL-S5/Samsung-SM-G900-Galaxy-S5-aluminium-hatlap-silver
Tok Asus Zenfone Max (ZC550KL) oldalra nyíló flipes tok - Nillkin Sparkle - fekete;Tokok és táskák > Nillkin > Nillkin Sparkle > Asus;2293;1806;6;990;A Sparkle tokok válogatott bőrből és környezetbarát műanyagból készültek. A vékony kagylóforma kialakítás és a finom anyagok kiváló látványt nyújtanak. A puha légáteresztő belső rész megvédi a kijelzőt. A hátoldal magas minőségű műanyagból készült ékszerek ihlette színekkel, lenyűgüző látványt nyújtva. Az egységes fedél és hátlap rendkívül tartós, ütésálló és egyszerűen gyönyörű.;http://tesztbolt.hu/HF-NL114685/Asus-Zenfone-Max-ZC550KL-oldalra-nyilo-flipes-tok
Tok Apple iPhone 7 szilikon hátlap - Devia Glitter Soft - silver;iPhone 3/4/5/6/7 tartozékok > Telefon hátlapok > iPhone 7;40330;31756;6;990;;http://tesztbolt.hu/HF-ST992651/Apple-iPhone-7-szilikon-hatlap-Devia-Glitter-Soft
Tok Apple iPhone 6 ütésálló védőtok - Gecko Rugged Hybrid - black/white;iPhone 3/4/5/6/7 tartozékok > Telefon hátlapok > iPhone 6/6S;1775;1398;6;990;;http://tesztbolt.hu/HF-GG800353/Apple-iPhone-6-utesallo-vedotok-Gecko-Rugged-Hybri
Tok Apple iPhone 7 víz- por- és ütésálló védőtok - Lifeproof Nüüd - mermaid;Tokok és táskák > Vízálló tokok;2623;2065;6;990;A LifeProof nüüd tok teljes vízálló védelmet biztosít a készüléked számára, képernyőborítás nélkül. Segítségével szabadon használhatod a készüléked a medence mellett, a táborhelyen, és bárhol, ahol mellőznöd kell otthonod vagy irodád kényelmét. A LifeProof CrystalClear tükröződésgátló bevonattal ellátott, optikai üvegből készült lencséjének köszönhetően fotóid és videóid torzításmentesek lesznek. A dinamikai szempontok figyelembevételével megkonstruált hangzásjavító rendszere révén a készüléked hangját maximális hangerővel és teljesen tisztán hallhatod. Kiemelt jellemzők: Tedd vízállóvá a készüléked - teljesen vízálló 2 méter mélységig A képernyőt szabadon hagyó borítás segítségével akadály nélkül érintheted és láthatod az a készüléked Teljesen kizárja a koszt vagy port Teljes védelem a hó és jég ellen Katonai szabványoknak megfelelő kialakítása révén az akár 1,2 méteres magasságból történő leejtést is kibírja Az átlátszó hátsó borítás láthatóvá teszi a személyre szabott Apple gravírozást és az iPhone kialakítását Egyszerű hozzáférés a töltőcsatlakozóhoz Nagy, vízálló fülhallgató-csatlakozók a maximális hangkimenet és hangtisztaság érdekében CrystalClear tükröződésmentes optikai üveg kameralencsék Minden tok vízállóságát teszteljük a LifeProof gyárban A nüüd technológia teljesen vízállóvá teszi iPhone készüléked, és megvédi a vízcseppektől, miközben képernyőborítás nélkül szabadon használhatod. Használd iPhone készüléked biztonságosan bármilyen környezetben, a nedvesség és a kosz mennyiségétől függetlenül. A doboz tartalma: LifeProof nüüd tok iPhone 7 készülékhez Fülhallgató jack borítás (2) Fülhallgató jack borításának rögzítője Mikroszálas tisztítókendő Víztesztelési egység Technikai adatok: Kialakítás: Kemény tok Anyag: Kemény műanyag, TPU A gyártó által biztosított garancia kizárólag a LIFEPROOF tokra vonatkozik. A tok esetleges hibájából, a benne lévő telefonban okozott esetleges károkért (beázás, mechanikai sérülés) a gyártó és a forgalmazó semmilyen felelősséget és garanciát nem vállal !;http://tesztbolt.hu/HF-OT77-54283/Apple-iPhone-7-viz-por-es-utesallo-vedotok-Lifepro
Apple iPhone 2G/3G/3GS/4/4S/iPad hálózati töltő - 5V/1A;Tablet tartozékok > Töltők > Hálózati töltők > Apple;1084;854;6;990;100-240V CE és RoHs minősítés;http://tesztbolt.hu/HF-500-208/Apple-iPhone-2G-3G-3GS-4-4S-iPad-halozati-tolto-5V
Tok Apple iPhone 5C hátlap - Case-Mate Tough Naked - clear/white;Telefon hátlapok > Case-Mate;27999;22046;6;990;;http://tesztbolt.hu/HF-CM029377/Apple-iPhone-5C-hatlap-Case-Mate-Tough-Naked-clear
Tok Samsung SM-G318H Galaxy Trend 2 Lite szilikon hátlap - Ultra Slim 0, 3 mm - transparent;Telefon hátlapok > 0.3 mm Ultra Slim hátlapok > Samsung;39012;30718;6;990;;http://tesztbolt.hu/HF-PT-2506/Samsung-SM-G318H-Galaxy-Trend-2-Lite-szilikon-hatl
Tok LG K10 K420N szilikon hátlap - Ultra Slim 0, 3 mm - kék;Telefon hátlapok > LG;16578;13054;6;990;;http://tesztbolt.hu/HF-PT-2891/LG-K10-K420N-szilikon-hatlap-Ultra-Slim-03-mm-kek
Tok Apple iPhone 6 szilikon hátlap - Gecko Invisible - clear;Telefon hátlapok > Gecko;1274;1003;6;990;;http://tesztbolt.hu/HF-GG800346/Apple-iPhone-6-szilikon-hatlap-Gecko-Invisible-cle
Devia Schuck Sport Bluetooth sztereó headset v4.1 - MultiPoint - black;Fülhallgató-mikrofon szettek > Bluetooth headsetek > Devia;34281;26993;6;990;A Devia Schuck Sport egy könnyű, hordozható Bluetooth sztereó fülhallgató - Bluetooth 4.1 csatlakozás, alacsonyabb energiafogyasztás - mágnesesen összekapcsolható fülhallgató fejek - vibra funkció (remegés) hívásjelzéshez - iOS Power Indicator funkció (iPhone, iPad) - fém hangszóró üreg, fejlett hang- és mélyhang-válasz - a kialakítása kényelmessé tesz a zenehallgatást, akár mozgás közben is - a kiváló minőségű elektronika jó minőségű hangot biztosít - a Multipoint technológia lehetővé teszi, hogy egyszerre akár két Bluetooth eszközzel csatlakozzunk - akár 8 óra beszélgetési idő - akár 320 óra készenléti idő - akár 7,5 óra zenehallgatási idő - angol nyelvű hangkezelés - gubancmentes, Noodle kábel design - gomb funkciók: lejátszás / szünet, hangerő fel / le, előző / következő dal, válasz / hivás visszautasítás - kompatibilis szinte minden Bluetooth-eszközzel - CE és FCC minősítésekkel - Bluetooth verzió: V4.1 - akkumulátor: 75mAh - impedancia: 16 Ohm - frekvencia válasz: 50Hz-20KHz - érzékenység: ?105db ? 3db - frekvencia: 2,402-2,48 GHz - működési tartomány: max. 10 méter - töltési idő: 2 óra;http://tesztbolt.hu/HF-ST991340/Devia-Schuck-Sport-Bluetooth-sztereo-headset-v4-1
Tok Apple iPhone 6 Plus/6S Plus szilikon hátlap kristály díszitéssel - Vouni Leisure - crystal clear;Telefon hátlapok > Vouni > iPhone 6 Plus/6S Plus;40812;32135;6;990;;http://tesztbolt.hu/HF-ST978129/Apple-iPhone-6-Plus-6S-Plus-szilikon-hatlap-krista
Tok Slim Flexi Flip bőrtok - Apple iPhone 7 - lila;iPhone 3/4/5/6/7 tartozékok > Tokok és táskák;19483;15341;6;990;;http://tesztbolt.hu/HF-PT-3363/Slim-Flexi-Flip-bortok-Apple-iPhone-7-lila
Tok Apple iPhone 7 szilikon hátlap - Ultra Slim 0, 3 mm - fekete;iPhone 3/4/5/6/7 tartozékok > Telefon hátlapok > iPhone 7;23137;18218;6;990;;http://tesztbolt.hu/HF-PT-3378/Apple-iPhone-7-szilikon-hatlap-Ultra-Slim-03-mm-fe
Tok Sony Xperia E (C1505) szilikon hátlap - S-Line - fehér;Telefon hátlapok > S-Line > Sony;4393;3459;6;990;;http://tesztbolt.hu/HF-PT-1059/Sony-Xperia-E-C1505-szilikon-hatlap-S-Line-feher
Tok Samsung SM-A900 Galaxy A9 (2016) szilikon hátlap - Ultra Slim 0, 3 mm - transparent;Telefon hátlapok > Samsung;28563;22491;6;990;;http://tesztbolt.hu/HF-PT-2685/Samsung-SM-A900-Galaxy-A9-2016-szilikon-hatlap-Ult
Tok Samsung SM-A300F Galaxy A3 S-View Flexi oldalra nyíló flipes tok - fekete;Tokok és táskák > S-View Flexi > Samsung;21618;17022;6;990;;http://tesztbolt.hu/HF-PT-2433/Samsung-SM-A300F-Galaxy-A3-S-View-Flexi-oldalra-ny
Asus ZenFone Max ZC550KL képernyővédő fólia - 2 db/csomag (Crystal/Antireflex HD);Képernyővédő fóliák és üvegek > Asus;1638;1290;6;990;Crystal - átlátszó védőfólia: kontrasztos és hatékonyan véd a karcolások ellen AntiReflex HD - enyhén matt védőfólia: csökkenti a tükröződést és az ujjlenyomatokat 2 db fólia a csomagban nagy felbontású kijelzőkhöz is ajánlott (Retina, HD) Tökéletes illeszkedés a képernyő alakjához (lézer technológiával vágott) A felhelyezéssel a színek megjelenítése és a felbontás nem változik Maradvány nélkül eltávolítható Az EasyApp KIT segítségével egyszerű a fólia felhelyezése Nem befolyásolja az érintőképernyő érzékenységét és olvashatóságot Tartós és vékony - 3H keménységű Véd a karcolásoktól és a szennyeződésektől Antibakteriális bevonattal rendelkezik (colon bacillus és staphylococcus) A felhelyezés előtt gondosan zsírtalanítsa a felületet Csomag tartalma: védőfólia típusra szabott: 1x Crystal, 1x AntiReflex HD (tökéletesen az adott képernyő alakjára szabott) törlőkendő, EasyApp KIT a könnyű felhelyezéshez, segédeszköz a felsimításhoz, lehúzók (ragasztócsíkok a leválasztandó réteg megfogásához), használati utasítás;http://tesztbolt.hu/HF-LA-1014/Asus-ZenFone-Max-ZC550KL-kepernyovedo-folia-2-db-c
Tok Samsung G930F Galaxy S7 szilikon hátlap - Ultra Slim 0, 3 mm - fekete;Telefon hátlapok > Samsung;3665;2886;6;990;;http://tesztbolt.hu/HF-PT-2842/Samsung-G930F-Galaxy-S7-szilikon-hatlap-Ultra-Slim
Tok Samsung SM-A300F Galaxy A3 S-View Flexi oldalra nyíló flipes tok - fehér;Tokok és táskák > S-View Flexi > Samsung;11150;8780;6;990;;http://tesztbolt.hu/HF-PT-2432/Samsung-SM-A300F-Galaxy-A3-S-View-Flexi-oldalra-ny
Tok Sony Xperia Z5 (E6653) oldalra nyíló flipes tok - Nillkin Sparkle - pink;Tokok és táskák > Nillkin > Nillkin Sparkle > Sony;20172;15883;6;990;A Sparkle tokok válogatott bőrből és környezetbarát műanyagból készültek. A vékony kagylóforma kialakítás és a finom anyagok kiváló látványt nyújtanak. A puha légáteresztő belső rész megvédi a kijelzőt. A hátoldal magas minőségű műanyagból készült ékszerek ihlette színekkel, lenyűgüző látványt nyújtva. Az egységes fedél és hátlap rendkívül tartós, ütésálló és egyszerűen gyönyörű.;http://tesztbolt.hu/HF-NL107649/Sony-Xperia-Z5-E6653-oldalra-nyilo-flipes-tok-Nill
Tok Apple iPhone 6/6S hátlap - Vouni Honor - smoky black;iPhone 3/4/5/6/7 tartozékok > Telefon hátlapok > Vouni > iPhone 6/6S;37353;29412;6;990;;http://tesztbolt.hu/HF-ST966249/Apple-iPhone-6-6S-hatlap-Vouni-Honor-smoky-black
