Name	Category	Price	NetPrice	DeliveryTime	DeliveryCost	Description	Url	ItemCode
400788 - Toner Ricoh AP600/AP610 type 125 (400788)	Tonere, cartuse, consumabile > Laser	45459	35794	6	FREE	"<p> 	<strong>Toner Ricoh AP600/AP610 Type 125</strong></p> <p> 	Cod: <strong>400788</strong></p> <p> 	Folosit la echipamentele Ricoh AP600 si Ricoh AP610</p>"	http://www.testshop.ro/cartus-ricoh-Ap600-ap610-type-125-400788	10654
ARTTER 600B (UNITEC) Aparat manual profesional de perforat documente (600B)	Periferice > Echipamente indosariere	48730	38370	6	FREE	"<ul> 	<li>Aparat manual profesional de indosariat documente, construit in totalitate din metal, indicat pentru un volum de lucru intensiv</li> 	<li>Indosarierea colilor se realizeaza manual aparatul fiind usor de manevrat si utilizat</li> 	<li>Aparatul poate executa indosarierea documentelor cu inele din plastic de 21 bucle, cu inele din metal pas 3:1 si pas 2:1</li> 	<li>Aparatul are o constructie moderna si  solida ceea ce ii confera calitate si rezistenta deosebita la indosarieri</li> 	<li>Aparatul este dotat cu 2 manere de lucru pentru a oferi productivitate ridicata</li> 	<li>Poate fi folosit in set cu unul dintre cele 2 aparate de perforat prezentate mai sus</li> 	<li>Aparatul doar indosariaza, nu executa perforarea colilor</li> 	<li>Greutate neta : 9,5 kg. </li> 	<li>Dimensiuni: 32*46*28.5cm. </li> </ul>"	http://www.testshop.ro/aparat-indosariat-artter-600b	10116
ARTTER 600P (UNITEC) Aparat manual profesional de perforat documente (600P)	Periferice > Echipamente indosariere	43213	34026	6	FREE	"<ul> 	<li>Aparat manual profesional de perforat documente, construit in totalitate din metal, indicat pentru un volum de lucru intensiv</li> 	<li>Capacitate maxima de perforare 25 coli/70-80g. </li> 	<li>Perforarea colilor se realizeaza manual prin simpla apasare a manetei de perforare cu care este dotat aparatul</li> 	<li>usor de manevrat si utilizat</li> 	<li>Aparatul poate fi dotat cu seturi de cutite de perforare interschimbabile, in functie de tipul de  indosariere ce se doreste a se realiza si in plus este dotat cu sistem de reglare a marginii de perforare intre 3-9mm</li> 	<li>Schimbarea cutitelor de perforare se face cu foarte mare usurinta, operatia de a schimba blocul de preforare nu depaseste 10-15 secunde</li> 	<li>Aparatul are o constructie metalica solida ceea ce ii confera calitate si rezistenta deosebita la perforari</li> 	<li>Toate tipurile de blocuri de perforare disponibile sunt dotate cu sistem de anulare a perforatiilor ( oricare perforatie din cele disponibile poate fi anulata in caz de necesitate )</li> 	<li>Sertarul pentru rezidurile este de mare capacitate, pentru a se evita golirea frecventa</li> 	<li>Greutate neta : 8,0 kg. </li> 	<li>Dimensiuni: 36.5*55.5*53cm. </li> </ul>"	http://www.testshop.ro/aparat-perforat-artter-600p	10763
ARTTER CM650 (UNITEC CB1430) Aparat de indosariat cu inele din plastic (CM650)	Periferice > Echipamente indosariere	26610	20953	6	FREE	"<p> 	Aparat de indosariat cu inele din plastic, pentru uz profesional de birou. </p> <ul> 	<li>dimensiuni indosariere: max. A4 / 21 gauri</li> 	<li>capacitate perforare: max. 25 coli 80 g/mp</li> 	<li>capacitate indosariere: max. 450 coli</li> 	<li>cutite anulabile: Da - toate cele 21 cutite</li> 	<li>tip carcasa: Metal</li> 	<li>manere duble de lucru: Da</li> 	<li>ghidaj ajustabil: Da</li> 	<li>reglare margine perforare: Da (2-8 mm)</li> 	<li>dimensiuni: 42.5x55.5x50cm</li> 	<li>greutate 15.5 kg</li> </ul>"	http://www.testshop.ro/aparat-indosariat-artter-cm650	10364
ARTTER CM650E (UNITEC CB-1430E) Aparat de indosariat electric cu inele din plastic (CM650E)	Periferice > Echipamente indosariere	23058	18156	6	FREE	"<p> 	Aparat de indosariat electric cu inele din plastic, pentru uz profesional de birou. </p> <ul> 	<li>dimensiuni indosariere: max. A4 / 21 gauri</li> 	<li>perforare electrica prin pedala de picior</li> 	<li>capacitate perforare: max. 25 coli 80 g/mp</li> 	<li>capacitate indosariere: max. 450 coli</li> 	<li>cutite anulabile: Da - toate cele 21 cutite</li> 	<li>tip carcasa: Metal</li> 	<li>sistem dublu de lucru: Da</li> 	<li>ghidaj ajustabil: Da</li> 	<li>reglare margine perforare: Da</li> 	<li>sertar de reziduuri de mare capacitate</li> 	<li>dimensiuni: 42.5x45x26 cm</li> 	<li>greutate 24.5 kg</li> </ul>"	http://www.testshop.ro/aparat-indosariat-artter-cm650e	10646
ARTTER CM660 (UNITEC CB-1410B) Aparat de indosariat cu inele de plastic (CM660)	Periferice > Echipamente indosariere	19949	15708	6	FREE	"<p> 	 Aparat de indosariat cu inele din plastic, pentru uz mediu de birou. </p> <ul> 	<li>dimensiuni indosariere: max. A4 / 21 gauri</li> 	<li>capacitate perforare: max. 20 coli 80 g/mp</li> 	<li>capacitate indosariere: max. 450 coli</li> 	<li>cutite anulabile: Da - ultimile 7 cutite</li> 	<li>tip carcasa: Metal</li> 	<li>manere duble de lucru: Da</li> 	<li>ghidaj ajustabil: Da</li> 	<li>reglare margine perforare: Da (2-8 mm)</li> 	<li>dimensiuni: 31x56x38.5 cm</li> 	<li>greutate 8.0 kg</li> </ul>"	http://www.testshop.ro/aparat-indosariat-artter-cm660	10900
ARTTER LM 450-I (UNITEC FGK450-I) (LM450I)	Periferice > Echipamente laminare	32713	25758	6	FREE	"<p> 	Aparat de laminat documente la cald si la rece cu carcasa si mecanisme <br> 	interioare din metal. <br> 	- latimea maxima de laminare 450 mm <br> 	- buton reglare temperatura 100-160°C <br> 	- 4 role presoare cu un diametru de 25mm <br> 	- folii acceptate 60-250 microni <br> 	- grosime maxima acceptata 1 mm <br> 	- motor cu functie inainte-inapoi <br> 	- laminare cu succes a fotografiilor <br> 	- viteza de laminare fixa 650 mm/minut <br> 	- timp de incalzire 3 minute <br> 	- 2 cooler-e pentru racire</p>"	http://www.testshop.ro/laminator-artter-lm450i	10130
ARTTER LM-320I ( UNITECH FGK 320-I) (LM320I)	Periferice > Echipamente laminare	16843	13262	6	FREE	"<p> 	-Aparat de laminat documente la cald si la rece cu carcasa si mecanisme interioare din metal <br> 	-Latimea maxima de laminare este de 320 mm <br> 	-Aparatul este dotat cu buton de reglare a temperaturii de laminare intre 100-160°C, are un motor cu tractiune in dublu sens ( inainte - inapoi ) ce permite scoaterea facila a foliei de laminat daca aceasta este prinsa accidental intre role, fiind de asemenea dotat cu 4 role presoare pentru obtinerea unor rezultate excelente. Rolele aparatului sunt confectionate din silicon cu un grad marit de puritate , ceea ce garanteaza o mai buna pastrare a elasticitatii in timp, si au un diametru de 25mm. <br> 	-Lamineaza cu folii de grosimi intre 60-250 microni, acceptand o grosime maxima a documentului ce urmeaza a fi laminat pana la 1 mm. <br> 	-Viteza de laminare este de 650 mm/minut. <br> 	-Nu necesita utilizarea cartonului transportor <br> 	-Timp de incalzire: 3 minute. <br> 	-Lamineaza cu succes fotografii si folia de laminat metalizata, datorita sistemului avansat de incalzire a rolelor  <br> 	-Rezultate bune pentru orice tip de laminare  <br> 	-Greutate neta: 8 kg <br> 	-Aparatul este dotat cu 2 cooler-e pentru racire si pastrarea unei temperaturi optime de lucru timp indelungat!!!</p>"	http://www.testshop.ro/laminator-artter-lm320i	10854
ARTTER WM740 (UNITEC WB2410) Aparat profesional de indosariat cu inele din metal (WM740)	Periferice > Echipamente indosariere	49237	38769	6	FREE	"<p> 	Aparat profesional de indosariat cu inele din metal, pas 3:1, construit in totalitate din metal, indicat pentru un volum de lucru ridicat. </p> <p> 	Capacitate maxima de perforare 25 coli/70-80g. <br> 	Capacitate maxima de legare 120 coli/70-80g. <br> 	Numar de gauri : 35 - format A4+. <br> 	Sistem de ghidare a hartiei ajustabil . <br> 	Usor de manevrat si utilizat !!! Aparatul este dotat cu doua manere de lucru. Este dotat cu sistem de inchidere a inelelor reglabil in functie de diametru si cu sistem de reglare a marginii de perforare intre 3-9mm !!! Aparatul are o constructie metalica solida ceea ce ii confera calitate si rezistenta deosebita la legari. Sistem de anulare a perforatiilor ( oricare perforatie din cele 35 disponibile poate fi anulata in caz de necesitate ) !!! Sertarul pentru rezidurile este de mare capacitate, pentru a se evita golirea frecventa. <br> 	Calitate si rezistenta deosebita la legari !!! Greutate neta: 17 kg. </p>"	http://www.testshop.ro/aparat-indosariat-artter-wm740	10684
ARTTER WM750 (UNITEC WB2420B) Aparat semi-profesional de indosariat cu inele din metal (WM750)	Periferice > Echipamente indosariere	42617	33557	6	FREE	"<p> 	Aparat semi-profesional de indosariat cu inele din metal, pas 3:1, construit in totalitate din metal. <br> 	Capacitate maxima de perforare 15 coli/70-80g. <br> 	Capacitate maxima de legare 120 coli/70-80g. <br> 	Numar de gauri : 34 - format A4. <br> 	Sistem de ghidare a hartiei ajustabil   <br> 	Usor de manevrat si utilizat  <br> 	Aparatul este dotat cu doua manere de lucru. <br> 	Este dotat cu sistem de inchidere a inelelor reglabil in functie de diametru si cu sistem de reglare a marginii de perforare intre 2-5mm  <br> 	Aparatul are o constructie metalica solida ceea ce ii confera calitate si rezistenta deosebita la legari. <br> 	Sistem de anulare a perforatiilor ( oricare perforatie din cele 34 disponibile poate fi anulata in caz de necesitate ) <br> 	Calitate si rezistenta la legari <br> 	Greutate neta: 10 kg. </p>"	http://www.testshop.ro/aparat-indosariat-artter-wm750	10473
ARTTER WM780 (UNITEC WB2430) Aparat profesional de indosariat cu inele din metal (WM780)	Periferice > Echipamente indosariere	5200	4094	6	FREE	"<p> 	Aparat profesional de indosariat cu inele din metal pas 2:1 <br> 	- sistem orizontal de perforare a colilor <br> 	- capacitate maxima de perforare 25 coli/70-80g <br> 	- capacitate maxima de legare 210 coli/70-80g <br> 	- numar de gauri: 27 - format A4+ <br> 	- posibilitatea anularii oricarei perforari din cele 27 disponibile <br> 	- fante laterale ce permit perforarea formatelor > A4 <br> 	- 2 manere separate de lucru pentru o productivitate de lucru  <br> 	- sistem de ghidare ajustabil  <br> 	- selector ce permite reglarea marginii de perforare 3-9 mm <br> 	- constructie total metalica si sertar reziduri de mare capacitate</p>"	http://www.testshop.ro/aparat-indosariat-artter-wm780	10965
Belt Cleaner Assembly Xerox 108R00580 Phaser 7750 / 7760 (108R00580)	Tonere, cartuse, consumabile > Laser	8558	6739	6	FREE	"<p>Belt Cleaner Assembly  Xerox 108R00580 </p> <p> 	Cod: 108R00580 <br> 	Durata de viata: 100000 pagini <br> 	Pentru echipamentele: <br> 	Xerox Phaser 7760 <br> 	Xerox Phaser 7750</p>"	http://www.testshop.ro/Belt-Cleaner-Assembly-Xerox-108r00580-phaser-7760-phaser-7750	10816
Biblioraft A4 Plastifiat 5 cm ALPHALINE (BU5015)	Papetarie > Arhivare si organizare	42061	33119	6	FREE	"<p> 	<strong>Biblioraft A4 plastifiat 5 cm latime ALPHALINE  <br> 	</strong>Producator : Alphaline  <br> 	Cod produs : BU5015</p> <p> 	Latime cotor : 5 cm <br> 	Prevazut cu buzunar si eticheta pe cotor  <br> 	Margine metalica la baza  <br> 	Mecanism metalic nichelat, de inalta calitate, pentru prinderea documentelor  <br> 	Disponibil in 14 culori: negru, rosu, albastru, bleumarin, verde, galben, alb, bleu, roz, lila, turcoise, orange, galben, alb</p>"	http://www.testshop.ro/biblioraft-plastifiat-5-cm-alphaline	10498
Biblioraft A4 Plastifiat 8 cm ALPHALINE (BU5018)	Papetarie > Arhivare si organizare	25447	20037	6	FREE	"<p> 	<strong>Biblioraft A4 plastifiat 8 cm latime ALPHALINE  <br> 	</strong>Producator : Alphaline  <br> 	Cod produs : BU5018</p> <p> 	Latime cotor : 8cm <br> 	Prevazut cu buzunar si eticheta pe cotor  <br> 	Margine metalica la baza  <br> 	Mecanism metalic nichelat, de inalta calitate, pentru prinderea documentelor  <br> 	Disponibil in 14 culori: negru, rosu, albastru, bleumarin, verde, galben, alb, bleu, roz, lila, turcoise, orange, galben, alb</p>"	http://www.testshop.ro/p-363-biblioraft-a4-plastifiat-8-cm-alphaline	10012
Burete magnetic pentru whiteboard SMART (BRTSMT)	Papetarie > Mijloace prezentare	13981	11009	6	FREE	"<p> 	Burete magnetic pentru whiteboard SMART - burete ce asigura o curatare rapida si foarte usoara a tablei, cu magnet integrat pentru sustinere pe tabla magnetica</p> <p> 	Cod: BRTSMT <br> 	Producator: SMART</p>"	http://www.testshop.ro/burete-magnetic-whiteboard-BRTSMT	10958
Burete pentru whiteboard ICO (6384)	Papetarie > Mijloace prezentare	1160	913	6	FREE	"<p> 	Burete pentru whiteboard ICO - burete ce asigura o curatare rapida si foarte usoara a tablei</p> <p> 	Cod: 6384 <br> 	Producator: ICO</p>"	http://www.testshop.ro/burete-sters-tabla-magnetica-ico-6384	10591
Calendar de birou A5 imprimat pe ambele fete (CA52)	Calendare personalizate	24607	19376	6	FREE	"<p> 	Calendar de birou, A5, doua fete</p> <ul> 	<li>Tip calendar: de birou </li> 	<li>Dimensiune: A5 </li> 	<li>12 file + coperta (Toate pot fi personalizate cu imaginile Dumneavoastra. ) </li> 	<li> Hartie colotech 120 gsm </li> 	<li>Imprimare: doua fete</li> </ul> <p>Pentru cantitati > 10 buc se considera comanda corporate si preturile se negociaza </p>"	http://www.testshop.ro/calendare-personalizate-a5-2-fete	10941
Calendar de birou A5 imprimat pe o fata (CA51)	Calendare personalizate	18273	14388	6	FREE	"<p> 	Calendar de birou, A5, o fata</p> <ul> 	<li>Tip calendar: de birou </li> 	<li>Dimensiune: A5 </li> 	<li>12 file + coperta (Toate pot fi personalizate cu imaginile Dumneavoastra. ) </li> 	<li> Hartie colotech 120 gsm </li> 	<li>Imprimare: o fata</li> </ul> <p>Pentru cantitati > 10 buc se considera comanda corporate si preturile se negociaza </p>"	http://www.testshop.ro/calendar-de-birou-A5-o fata	10999
Calendar de perete A3 (CA3)	Calendare personalizate	15960	12567	6	FREE	"<p> 	Calendar de perete, A3, o fata</p> <ul> 	<li>Tip calendar: de birou </li> 	<li>Dimensiune: A5 </li> 	<li>12 file + coperta (Toate pot fi personalizate cu imaginile Dumneavoastra. ) </li> 	<li> Hartie colotech 120 gsm </li> 	<li>Imprimare: o fata</li> </ul> <p>Pentru cantitati > 10 buc se considera comanda corporate si preturile se negociaza </p>"	http://www.testshop.ro/calendare-personalizate-de-perete-a3	10882
Calendar de perete A4 (CA4)	Calendare personalizate	49075	38642	6	FREE	"<p> 	Calendar de perete, A4, o fata</p> <ul> 	<li>Tip calendar: de birou </li> 	<li>Dimensiune: A5 </li> 	<li>12 file + coperta (Toate pot fi personalizate cu imaginile Dumneavoastra. ) </li> 	<li> Hartie colotech 120 gsm </li> 	<li>Imprimare: o fata</li> </ul> <p>Pentru cantitati > 10 buc se considera comanda corporate si preturile se negociaza </p>"	http://www.testshop.ro/calendare-de-perete-a4	10718
Cap imprimare HP 11 Black C4810A (C4810A)	Tonere, cartuse, consumabile > Inkjet	1332	1049	6	FREE	"<p> 	<strong>Cap imprimare HP 11 Black ( HP11) <br> 	</strong></p> <p> 	Cod <strong>C4810A </strong></p> <p> 	Nr. pagini : 16.000</p> <p> 	Pentru imprimantele :</p> <p> 	HP Business InkJet 1000, 1100, 1100d, dtn <br> 	HP Business InkJet 1200, 1200d, 1200dn, 1200dtn, 1200dtwn <br> 	HP Business InkJet 2200, 2200se, 2200XI <br> 	HP Business InkJet 2230, 2230dtn, 2250, 2250tn, 2280, 2280tn <br> 	HP Business InkJet 2300, 2300n, , 2300dtn <br> 	HP Business Inkjet 2800, 2800dt, 2800dtn <br> 	HP Color Inkjet cp1700 <br> 	HP Designjet 100plus, HP Designjet 110plus <br> 	HP Designjet 500 (24""/ 42"" ), HP DesignJet 510 Series (24""/42"") <br> 	HP Designjet 70, HP Designjet 800(24"" / 42"") <br> 	HP Designjet 815MFP, HP Designjet 820MFP <br> 	HP Officejet 9110 All-in-One, HP Officejet 9120 All-in-One, HP Officejet 9130 All-in-One <br> 	HP Officejet Pro K850, HP Officejet Pro K850dn <br> 	HP Business InkJet 2600 Series </p>"	http://www.testshop.ro/cap-imprimare-hp-11-black-c4810a	10109
Cap imprimare HP 11 Cyan C4811A (C4811A)	Tonere, cartuse, consumabile > Inkjet	33356	26265	6	FREE	"<p> 	<strong>Cap imprimare HP 11 Cyan  ( HP11 cyan )</strong> <br> 	Cod <strong>C4811A</strong> <br> 	Nr. pagini : 24.000 <br> <br> 	Pentru imprimantele : <br> <br> 	HP Business InkJet 1000, 1100, 1100d, dtn <br> 	HP Business InkJet 1200, 1200d, 1200dn, 1200dtn, 1200dtwn <br> 	HP Business InkJet 2200, 2200se, 2200XI <br> 	HP Business InkJet 2230, 2230dtn, 2250, 2250tn, 2280, 2280tn <br> 	HP Business InkJet 2300, 2300n, , 2300dtn <br> 	HP Business Inkjet 2800, 2800dt, 2800dtn <br> 	HP Color Inkjet cp1700 <br> 	HP Designjet 100plus, HP Designjet 110plus <br> 	HP Designjet 500 (24""/ 42"" ), HP DesignJet 510 Series (24""/42"") <br> 	HP Designjet 70, HP Designjet 800(24"" / 42"") <br> 	HP Designjet 815MFP, HP Designjet 820MFP <br> 	HP Officejet 9110 All-in-One, HP Officejet 9120 All-in-One, HP Officejet 9130 All-in-One <br> 	HP Officejet Pro K850, HP Officejet Pro K850dn <br> 	HP Business InkJet 2600 Series  <br> 	 </p>"	http://www.testshop.ro/cap-imprimare-hp-11-cyan-c4811a	10768
Cap imprimare HP 11 Magenta C4812A (C4812A)	Tonere, cartuse, consumabile > Inkjet	24769	19503	6	FREE	"<p> 	<strong>Cap imprimare HP 11 Magenta ( HP11 magenta)</strong> <br> 	Cod <strong>C4812A</strong> <br> 	Nr. pagini : 24.000 <br> <br> 	Pentru imprimantele : <br> <br> 	HP Business InkJet 1000, 1100, 1100d, dtn <br> 	HP Business InkJet 1200, 1200d, 1200dn, 1200dtn, 1200dtwn <br> 	HP Business InkJet 2200, 2200se, 2200XI <br> 	HP Business InkJet 2230, 2230dtn, 2250, 2250tn, 2280, 2280tn <br> 	HP Business InkJet 2300, 2300n, , 2300dtn <br> 	HP Business Inkjet 2800, 2800dt, 2800dtn <br> 	HP Color Inkjet cp1700 <br> 	HP Designjet 100plus, HP Designjet 110plus <br> 	HP Designjet 500 (24""/ 42"" ), HP DesignJet 510 Series (24""/42"") <br> 	HP Designjet 70, HP Designjet 800(24"" / 42"") <br> 	HP Designjet 815MFP, HP Designjet 820MFP <br> 	HP Officejet 9110 All-in-One, HP Officejet 9120 All-in-One, HP Officejet 9130 All-in-One <br> 	HP Officejet Pro K850, HP Officejet Pro K850dn <br> 	HP Business InkJet 2600 Series  <br> <br> 	 </p>"	http://www.testshop.ro/cap-imprimare-hp-11-magenta-c4812a	10102
Cap imprimare HP 11 Yellow C4813A (C4813A)	Tonere, cartuse, consumabile > Inkjet	14405	11343	6	FREE	"<p> 	<strong>Cap imprimare HP 11 Yellow ( HP11)</strong> <br> 	Cod <strong>C4813A</strong> <br> 	Nr. pagini : 24.000 <br> <br> 	Pentru imprimantele : <br> <br> 	HP Business InkJet 1000, 1100, 1100d, dtn <br> 	HP Business InkJet 1200, 1200d, 1200dn, 1200dtn, 1200dtwn <br> 	HP Business InkJet 2200, 2200se, 2200XI <br> 	HP Business InkJet 2230, 2230dtn, 2250, 2250tn, 2280, 2280tn <br> 	HP Business InkJet 2300, 2300n, , 2300dtn <br> 	HP Business Inkjet 2800, 2800dt, 2800dtn <br> 	HP Color Inkjet cp1700 <br> 	HP Designjet 100plus, HP Designjet 110plus <br> 	HP Designjet 500 (24""/ 42"" ), HP DesignJet 510 Series (24""/42"") <br> 	HP Designjet 70, HP Designjet 800(24"" / 42"") <br> 	HP Designjet 815MFP, HP Designjet 820MFP <br> 	HP Officejet 9110 All-in-One, HP Officejet 9120 All-in-One, HP Officejet 9130 All-in-One <br> 	HP Officejet Pro K850, HP Officejet Pro K850dn <br> 	HP Business InkJet 2600 Series  <br> <br> 	 </p>"	http://www.testshop.ro/cap-imprimare-hp-11-yellow-c4813a	10153
Cap imprimare HP 88 black + yellow C9381A (C9381A)	Tonere, cartuse, consumabile > Inkjet	47669	37535	6	FREE	"<p>Cap imprimare  <strong>original HP 88 Black si Yellow </strong> (HP88) <br>Cod <strong>C9381AE</strong> <br>Nr pagini : 90.000</p> 	<p>Pentru imprimantele : <br>HP Officejet Pro K5400,5400Ddn, 5400dtn, K5400n, K550, K8600, K8600dn, <br>HP Officejet Pro L7480 All-in-One, L7590, L7680, L7780</p>"	http://www.testshop.ro/cap-imprimare-hp-88-black-yellow-c9381a	10306
Cap imprimare HP 88 magenta + cyan C9382A (C9382A)	Tonere, cartuse, consumabile > Inkjet	32460	25559	6	FREE	"<p>Cap imprimare <strong>original HP 88 Cyan</strong> <strong>+ Magenta </strong>(HP88) <br>Cod <strong>C9382A</strong> <br>Nr, pagini : 90.000</p> 	<p>Pentru imprimantele : <br>HP Officejet Pro K5400,5400Ddn, 5400dtn, K5400n, K550, K8600, K8600dn, <br>HP Officejet Pro L7480 All-in-One, L7590, L7680, L7780</p>"	http://www.testshop.ro/Cap-imprimare-hp-88-cyan-magenta-c9382a	10936
Cap imprimare HP 940 Black & Yellow C4900A (C4900A)	Tonere, cartuse, consumabile > Inkjet	15485	12193	6	FREE	"<p> 	<strong>Cap imprimare HP 940 Black + Yellow</strong> (HP940) <br> 	Cod <strong>C4900A</strong> <br> <br> 	Pentru imprimantele : <br> <br> 	HP Officejet Pro 8000  <br> 	HP Officejet Pro 8500 All-in-One / Wireless / A809 <br> 	HP Officejet Pro 8500 A909a,   A909g ,   A909n </p>"	http://www.testshop.ro/index.php?route=product/product&product_id=1104	10553
Cap imprimare HP 940 Magenta + Cyan C4901A (C4901A)	Tonere, cartuse, consumabile > Inkjet	36142	28458	6	FREE	"<p> 	<strong>Cap imprimare HP 940 Magenta + Cyan</strong> (HP940) <br> 	Cod <strong>C4901A</strong> <br> <br> 	Pentru imprimantele : <br> <br> 	HP Officejet Pro 8000  <br> 	HP Officejet Pro 8500 All-in-One / Wireless / A809 <br> 	HP Officejet Pro 8500 A909a,   A909g ,   A909n </p>"	http://www.testshop.ro/index.php?route=product/product&product_id=1105	10956
Capse Xerox 008R12925 Phaser 7760 (008R12925)	Tonere, cartuse, consumabile > Laser	23063	18160	6	FREE	"<p> 	Capse Xerox Phaser 7760 pentru brosuri</p> <p> 	Ambalate 4 x 5000 buc</p>"	http://www.testshop.ro/p-439-XeroX-008r12925-booklet-staples-refill-pentru-phaser-7760	10547
Capse Xerox 008R12941 WorkCentre 4150 / 4250 / 4260 / 5222 si Phaser 4600 / 4620 / 4622 / 5550 / 7760 / 6700 (008R12941)	Tonere, cartuse, consumabile > Laser	29553	23270	6	FREE	"<p> 	<strong>Capse Xerox 008R12941 - refill  <br> 	</strong></p> <p> 	Cod: <strong>008R12941</strong> <br> 	Mod ambalare : 3 seturi x 5000 capse <br> 	Folosite pentru echipamentele</p> <ul> 	<li>WorkCentre 4150  / WorkCentre 4250 / WorkCentre 4260 / WorkCentre 5222</li> 	<li>Phaser 4600 / Phaser 4620 / Phaser 4622 / Phaser 5550 / Phaser 7760 / Phaser 6700</li> </ul>"	http://www.testshop.ro/p-249-capse-XeroX-008r12941-pentru-workcentre-4250-workcentre-4260-phaser-5550-phaser-7760	10193
Capse Xerox 008R12964 WorkCentre 5222 (008R12964)	Tonere, cartuse, consumabile > Laser	35944	28302	6	FREE	"<p> 	Cartus de capse original XEROX cod 008R12964</p> <p> 	- 5000 capse <br> 	-folosite la echipament Xerox WorkCentre 5222</p>"	http://www.testshop.ro/capse-XeroX-008r12964-workcentre-5222	10106
Capse Xerox 108R00710 Phaser 7400 (108R00710)	Tonere, cartuse, consumabile > Laser	26113	20561	6	FREE	"<p> 	Pachet capse 3x5000 pentru Phaser 7400 <br> 	- staple pack -</p> <p> 	Cod: 108R00710 <br> 	Marca: Xerox <br> 	Pentru: imprimanta laser Xerox Phaser 7400</p>"	http://www.testshop.ro/capse-Xerox-108r00710-phaser-7400	10978
