"id";"partner_id";"name";"category";"net_price";"price";"delivery_time";"delivery_cost";"description";"url"
"5945";"1";"Стилно палто с мотиви в цвят лилаво - тъмно синьо";"zheni > palta";"13610";"17285";"6";"0";"<p>Състав: 60% вълна, 40% полиестер. </p><p> </p>";"http://www.testshop.bg/stilno-palto-s-motivi-v-tzviat-lilavo-tamno-sino.html"
"5946";"1";"Мъжки панталон TOP SECRET RED SSP2027";"myzhe > myzhki pantaloni";"19742";"25072";"6";"0";"<p>Мъжки спортно - елегантни панталони, изработени от мека материя. </p><p>Подходящи за работния стайлинг, както и всекидневието. </p><p>Съчетайте с блуза или риза. </p><p>98% Памук, 2% Еластан. </p>";"http://www.testshop.bg/mazki-pantalon-top-secret-red-ssp2027.html"
"5947";"1";"Бикини Havana Figi";"beljo > bikini";"35349";"44893";"6";"0";"<p>Предна част: комбинация от еластичен тюл и дантела. Горната част е без ластик. <br>Задна част: еластичен тюл. Горната част е с ластик. </p>";"http://www.testshop.bg/elegantni-bikini-havana-v-tzviat-smetana-sin.html"
"5948";"1";"Дамска тениска TROLL WHITE";"izcherpani produkti";"33288";"42276";"6";"0";"<p>Дамска тениска с принт в бяло. Модела е изработен от мек плат. Страхотна в комбинация с пола или панталон. </p><p>100%Памук. </p><p>Моделът носи S размер и е висок 179 см. </p>";"http://www.testshop.bg/damska-teniska-troll-white-1.html"
"5949";"1";"Мъжка тениска в бяло Visent";"myzhe > myzhki teniski";"31119";"39521";"6";"0";"<p>Мъжка тениска с класическа кройка в бяло. Модела е изработен от мека на допир материя, страхотна за ежедневието. </p><p>30° Пране. </p>";"http://www.testshop.bg/mazka-teniska-v-bialo-visent.html"
"5950";"1";"Дамско сако TOP SECRET GREY";"izcherpani produkti";"32720";"41554";"6";"0";"<p>Дамско стилно сако в сиво. Модела е изработен от мек качествен плат. Подходящ за офис дамите, съчетайте с панталон или пола. </p><p>28% Вискоза, 68% Полиестер, 4% Еластан. </p>";"http://www.testshop.bg/damsko-sako-top-secret-grey.html"
"5951";"1";"Дамско сако TOP SECRET SZK0401";"zheni > saka";"26878";"34135";"6";"0";"<p>Дамко стилно сако, изработено от мек плат, закопчава се с цип. </p><p>Много стилно, подходящо за ежедневния или друг тип стайлинг. </p><p>75% Полиестер, 5% Еластан, 20%Вискоза. </p><p>Моделът носи размер 36 и е висок 178 см. </p><p> </p>";"http://www.testshop.bg/damsko-sako-top-secret-szk0401.html"
"5952";"1";"Дамско сако TOP SECRET SZK0385";"zheni > saka";"25824";"32797";"6";"0";"<p>Дамко стилно сако, изработено от мек плат, закопчава се с цип. </p><p>Много стилно, подходящо за ежедневния или друг тип стайлинг. </p><p>97% Полиестер, 3% Еластан. </p><p>Моделът носи размер 36 и е висок 178 см. </p><p> </p>";"http://www.testshop.bg/damsko-sako-top-secret-szk0385.html"
"5953";"1";"Дамска блуза TOP SECRET RED VI";"zheni > bluzi";"6346";"8060";"6";"0";"<p>Дамска блуза с V - образен гръб. Модела е изработен от мек фин плат. Съчетайте с пола или панталон за ежедневието. </p><p>55% Рамия, 45% Памук. </p>";"http://www.testshop.bg/damska-bluza-top-secret-red-vi.html"
"5954";"1";"Мъжки панталон TOP SECRET SSP2230";"myzhe > myzhki pantaloni";"14352";"18227";"6";"0";"<p>Мъжки стилен панталон в черно. Модела е изработен от мека на допир материя, страхотен за работа или специални поводи. Съчетайте със сако и риза. </p><p>98% Памук, 2% Еластан. </p>";"http://www.testshop.bg/mazki-pantalon-top-secret-ssp2230.html"
"5955";"1";"Дамско сако TOP SECRET SZK0415";"zheni > saka";"25800";"32766";"6";"0";"<p>Стилно дамска сако, изработено от мека материя. </p><p>Изключително подходящо за ежедневния или офис стайлинг. </p><p>Съчетайте с пола или панталон. </p><p> </p><p>96% COTTON, 4% ELASTANE. </p>";"http://www.testshop.bg/damsko-sako-top-secret-szk0415.html"
"5956";"1";"Дамска блуза с ципове TOP SECRET";"zheni > bluzi";"3178";"4036";"6";"0";"<p>Дамска блуза с декоративни шевове и ципове на ицевата част. </p><p>Идеална за ежедневния стайлинг в комбинация с панталон или пола. </p><p> </p><p>39% Вискоза, 61% Полистер.  </p><p>Моделът носи размер 38 и е висок 179 см. </p>";"http://www.testshop.bg/damska-bluza-s-tzipove-top-secret.html"
"5957";"1";"Мъжко елегантно сако TOP SECRET SMR0247";"myzhe > myzhki saka";"37035";"47035";"6";"0";"<p>Мъжко сако изработено от мека материя. </p><p>Страхотно за работния стайлинг или специални поводи. </p><p>Моделът носи размер М и е висок 190 см. </p><p>80% Полиестер, 20% Вискоза. </p>";"http://www.testshop.bg/mazko-elegantno-sako-top-secret-smr0247.html"
"5958";"1";"Дамска блуза с цветни мотиви и яка Katrus K425";"zheni > bluzi";"11035";"14015";"6";"0";"<p>Дамска блуза изработена от финна материя. </p><p>Идеална за ежедневния стайлинг в комбинация с панталон или пола. </p><p>30° Пране</p>";"http://www.testshop.bg/damska-bluza-s-tzvetni-motivi-i-iaka-katrus-k425.html"
"5959";"1";"Бикини Adela Figi";"beljo > bikini";"22329";"28358";"6";"0";"<p>Бикини с по-широка странична част в снежнобял цвят. Отпред - комбинация от бяла дантела с бял микрофибър. В средата - фина панделка като финална декорация. </p>";"http://www.testshop.bg/elegantni-bikini-adela-v-tzviat-bialo.html"
"5960";"1";"Сутиен Belissima Soft";"beljo > sutieni";"33831";"42965";"6";"0";"<p>Сутиенът е с мека чашка предназначен за по-пищен бюст. Чашките са изработени изцяло от мека, бяла дантела, подплътена с полиестер в същия цвят. Коланът е направен от бял микрофибър. Закопчалката отзад може да бъде двойна или тройна в зависимост от размера. Презрамките на модела също са съобразени с размера и могат да бъдат с ширина 16 или 22 мм. </p>";"http://www.testshop.bg/seksapilen-sutien-soft-dantelen-v-tzviat-bial.html"
"5961";"1";"Прашки Mystery String";"beljo > prashki";"5261";"6682";"6";"0";"<p> - Предна част - комбинация от дантела и микрофибър <br> - Задна част изцяло от микрофибър</p>";"http://www.testshop.bg/seksapilni-prashki-mystery-s-dantela-v-tzviat-smetana-kapuchino.html"
"5962";"1";"Сексапилен колан Dalia в цвят бял";"beljo > kolani za zhartieri";"36796";"46731";"6";"0";"<p>Жартиера колан \""Dalia\"" в бяло  украсен в предната си част с невероятно нежна на докосване материя украсена с елегантна бродерия. Задна част с нежни мотиви. Секси, стилен, разпалващ сетивата. </p>";"http://www.testshop.bg/seksapilen-kolan-dalia-v-tzviat-bial.html"
"5963";"1";"Мъжка червена блуза TOP SECRET SPL0359";"myzhe > myzhki bluzi";"34757";"44142";"6";"0";"<p>Мъжка стилна блуза с твърда яка в червено. Страхотен модел, изработен от мека на допир материя, съчетайте с дънки или панталон. </p><p>100% Памук. </p><p> </p>";"http://www.testshop.bg/mazka-chervena-teniska-top-secret-spl0359.html"
"5964";"1";"Дамски панталон TOP SECRET BEIGE I";"zheni > pantaloni";"31730";"40297";"6";"0";"<p>Дамски панталон в бежово. Модела е със свободна и стилна кройка. Удобен и практичен за ежедневието. Съчетайте го с топ или риза. </p><p>97%Памук % Еластан. </p>";"http://www.testshop.bg/damski-pantalon-top-secret-beige-i.html"
"5965";"1";"Дамски топ TOP SECRET";"zheni > potnici";"24008";"30490";"6";"0";"<p>Елегантен дамски топ, изработен от финна мека материя. </p><p>Модела на топа е полупрехлупване. </p><p>На гърба е с цип и копче. </p><p>Коланът има тънка алуминиева лента. </p><p>Стилен и модерен топ идеален за работа, както и на официални срещи. </p><p>100% Полиестер. </p>";"http://www.testshop.bg/damski-top-top-secret-1.html"
"5966";"1";"Дамско яке DRYWASH BLACK";"zheni > jaketa";"21609";"27444";"6";"0";"<p>Спортно яке с мрежести елементи и флорални мотиви. </p><p>Якето е с качулка и джобове. </p><p>Модела е идеален за всеки ден. </p><p>Подходящ за летния сезон. </p><p>100% Полиестер. </p><p>Моделът носи размер XS и е висок 172 см. </p><p> </p>";"http://www.testshop.bg/dasmko-iake-top-secret-black.html"
"5967";"1";"Мъжка тениска с класическа кройка в бяло с джоб Visent";"myzhe > myzhki teniski";"1976";"2510";"6";"0";"<p>Мъжка тениска с класическа кройка в бяло с джоб. Модела е изработен от мека на допир материя, страхотна за ежедневието. </p><p>30° Пране. </p>";"http://www.testshop.bg/mazka-teniska-s-klasicheska-kroika-v-bialo-s-dzob-visent.html"
"5968";"1";"Сексапилни прашки Nevada в цвят черно";"beljo > prashki";"32608";"41412";"6";"0";"<p>Предна част: дантела и микрофибър <br>Задна част: микрофибър</p>";"http://www.testshop.bg/seksapilni-prashki-nevada-v-tzviat-cherno.html"
"5969";"1";"Стилна дамска рокля Радекс райе";"zheni > rokli";"28338";"35989";"6";"0";"<p>Състав: 80% вискоза, 15% памук, 5% еластан</p><p>Цвят: черен/бял/зелен</p><p>Ръ";"http://www.testshop.bg/stilna-damska-roklia-radek-s-v-zeleno-raie.html"
"5970";"1";"Елегантно боди Monika в цвят черен тип бикина";"beljo > damski bodita";"9324";"11842";"6";"0";"<p>- Цвят: черно с масленозелена щампа <br>- Чашки покрити в горната част с черна дантела <br>- Подвижни подплънки <br>- Подвижни и регулируеми презрамки <br>- Черна панделка между чашките</p>";"http://www.testshop.bg/elegantno-bodi-monika-v-tzviat-cheren-tip-bikina.html"
"5971";"1";"Мъжко сако TOP SECRET SMR0217";"myzhe > myzhki saka";"19243";"24438";"6";"0";"<p>Мъжко спортно - елегантно сако изработено от мека материя. </p><p>Страхотно за ежедневния стайлинг, в съчетание с панталон или дтнки. </p><p>100% Полиестер. </p>";"http://www.testshop.bg/mazko-sako-top-secret-smr0217.html"
"5972";"1";"Дамско стилно палто в сиво Figl";"zheni > palta";"32993";"41901";"6";"0";"<p>Дамско стилно палто в сиво. Модела е изработен от висококачествена материя, страхотно за по - хладните дни. </p><p>Ръчно пране. </p>";"http://www.testshop.bg/damsko-stilno-palto-v-sivo-figl.html"
"5973";"1";"Сутиен Adela Push Up";"beljo > sutieni";"20013";"25416";"6";"0";"<p>Чашките са изцяло покрити с богата дантела, придаваща на модела изключителна елегантност. Подплънки офoрмящи бюста и придаващи по-голям обем. Коланът е от бял микрофибър в перфектна комбинация с чашките. Между чашките - фина, бяла панделка. Свалящи се и регулируеми презрамки. </p>";"http://www.testshop.bg/bg-product-details-18.html"
"5974";"1";"Мъжки пуловер TOP SECRET GRANAT";"myzhe > myzhki puloveri";"9949";"12635";"6";"0";"<p>Мъжки стилен пуловер в тъмносиньо. Модела е изработен от мек на допир плат, подходящ за ежедневието или работа. Съчетайте с дънки или панталон. </p><p>100% Памук. </p>";"http://www.testshop.bg/mazki-pulover-top-secret-granat.html"
"5975";"1";"Ежедневни силиконови боти в цвят бордо";"damski obuvki > boti";"23420";"29744";"6";"0";"<p>Дамски ароматизирани силиконови боти в стил Челси, модел ROYAL, с лъскаво покритие, с приятен лек и свеж аромат на лимон. </p><p>Изработени от висококачественa гума, с декоративен кант за по-голям ефект, с двустранно златисто -  метализирано еластично клинче с износен ефект в горната част и  метално лого Lemon Jelly със Swarovski кристал в него. </p><p>Във вътрешността-плат и  черна микрофибърна абсорбираща стелка със  златист бранд на логото. </p><p>Височина на тока-3см</p><p>Страна на произход: Португалия</p><p>Сезон:Е сен/Зима 16/17</p>";"http://www.testshop.bg/ezednevni-silikonovi-boti-v-tzviat-bordo.html"
"5976";"1";"Дамски тренчкот в жълто TOP SECRET SPZ0384";"zheni > jaketa";"30607";"38871";"6";"0";"<p>Дамски стилен тренчкот в жълто. Модела е изработен от мека на допир материя, страхотен за пролетния сезон. Съчетайте с панталон или рокля. </p><p>97% Памук, 3% Еластан. </p><p>Размерите на марка  TOP SECRET  са леко уголемени, отговарят на немска номерация. </p>";"http://www.testshop.bg/damski-trenchkot-v-zalto-top-secret-spz0384.html"
"5977";"1";"Дамски шал - яка TOP SECRET SKM0068";"aksesoari > shalove";"33472";"42510";"6";"0";"<p>100% Полиестер. </p>";"http://www.testshop.bg/damski-shal-iaka-top-secret-skm0068.html"
"5978";"1";"Дамска рокля деним DRYWASH";"zheni > rokli";"6633";"8424";"6";"0";"<p>Дамска рокля с по - свободна кройка, изработена от лиосел. </p><p>Модерна и удобна, с дълъг ръкав с подгъви, има джобове и оригинални плисета в предната част. </p><p>Изглежда страхотно в комбинация с боти или сандали. </p><p>100% Лиосел. </p><p>Моделът носи размер S и е висок 177см. </p>";"http://www.testshop.bg/damska-roklia-denim-drywash.html"
"5979";"1";"Дамска жилетка TOP SECRET BORDO";"zheni > zhiletki";"21112";"26812";"6";"0";"<p>Дамска стилна жилетка в бордо. Модела е изработен от мека на допир материя, страхотна за есенно - зимния сезон. Съчетайте с дънки или рокля за една неотразима визия. </p><p>68%Акрил4% Еластан, 28% Полиестер. </p>";"http://www.testshop.bg/damska-ziletka-top-secret-bordo.html"
"5980";"1";"Мъжки дънки TOP SECRET DARK BLUE SSP2492";"myzhe > myzhki dynki";"10811";"13730";"6";"0";"<p>Мъжки дънки с класическа кройка. Изработени от мек дънков плат. Подходящи за ежедневието в съчетание с риза или суичър. </p><p>98% Памук, 2% Еластан. </p><p>Размерите на марка  TOP SECRET  са леко уголемени, препоръчваме да изберете един размер по - малък, тъй като продуктите отговарят на немска номерация. </p><p> </p>";"http://www.testshop.bg/mazki-danki-top-secret-dark-blue-ssp2492.html"
"5981";"1";"Дамски дънки TOP SECRET SSP2411";"zheni > dynki";"2273";"2887";"6";"0";"<p>Дамски стилни дънки в тъмносиньо. Страхотен модел за ежедневието, изработени са от мека на допир материя. Съчетайте с риза или стилна блуза. </p><p>97% Памук, 3% Еластан. </p><p> </p>";"http://www.testshop.bg/damski-danki-top-secret-ssp2411.html"
"5982";"1";"Дамска пола TOP SECRET SSD0771";"zheni > poli";"3355";"4261";"6";"0";"<p>Дамска кожена пола в черно. Модела е с разкроена кройка, страхотен за парти или ежедневието. Съчетайте с риза или тениска. </p><p>95% Полиестер, 5% Еластан. </p>";"http://www.testshop.bg/damska-pola-top-secret-ssd0771.html"
"5983";"1";"Мъжка риза TOP SECRET DARK BLUES";"myzhe > myzhki rizi";"12662";"16081";"6";"0";"<p>Класическа риза, изработена от тънък плат.  </p><p>Ризата е с дълъг ръкав и джоб в предната част с декоративно закопчаване. </p><p>Моделът е подходящ за всеки ден или за работа. </p><p>Моделът носи М размер и е висок 190 см. </p><p>100% Памук. </p>";"http://www.testshop.bg/mazka-riza-top-secret-dark-blues.html"
"5984";"1";"Дамска блуза със сини пеперуди Figl M505";"zheni > bluzi";"17647";"22412";"6";"0";"<p>Дамска блуза изработена от финна материя. Страхотна за специални поводи, както и ежедневния стайлинг. </p><p>30° Пране</p><p>Полиестер 95%  <br>Еластан 5%</p>";"http://www.testshop.bg/damska-bluza-sas-sini-peperudi-figl-m505.html"
"5985";"1";"Дамска туника в сиво и бяло Figl M511";"zheni > tuniki";"7850";"9970";"6";"0";"<p>Дамска туника изработена от мека материя. Страхотна за ежедневния стайлинг в комбинация с панталон или дънки. </p><p>30° Пране</p><p>Памук 95%  <br>Еластан 5%</p>";"http://www.testshop.bg/damska-tunika-v-sivo-i-bialo-figl-m511.html"
"5986";"1";"Дамски гащеризон TROLL BLUE";"zheni > gawerizoni";"3184";"4044";"6";"0";"<p>Дамски гащеризон в синьо. Модела е изработен от мек еластичен плат. Подходящ за ежедневието или работа. Съчетйте със сако или жилетка. </p><p>5% Еластан, 95% Вискоза. </p><p>Моделът носи S размер и е висок 175 см. </p>";"http://www.testshop.bg/damski-gashterizon-troll-blue.html"
"5987";"1";"Дамска стилна блуза TOP SECRET SBD0695";"zheni > bluzi";"16558";"21029";"6";"0";"<p>Елегантна блуза с половин ръкави. </p><p>Идеална за много случаи, много удобна и модерна. </p><p>Изглежда невероятно в комбинация с пола или панталон. </p><p>100% Полиестер. </p><p>Моделът носи размер 34 и е висок 172 см. </p><p> </p>";"http://www.testshop.bg/damska-stilna-bluza-top-secret-sbd0695.html"
"5988";"1";"Дамско палто с колан в светлосиво Figl";"zheni > palta";"11126";"14130";"6";"0";"<p>Дамско палто с колан в светлосиво. Моделът е изработен от висококачествена материя, подходящо за по - хладните дни. </p><p>Ръчно пране. </p>";"http://www.testshop.bg/damsko-palto-s-kolan-v-svetlosivo-figl.html"
"5989";"1";"Дамска рокля с дълбоко деколте в черно FIGL M135";"zheni > rokli";"9615";"12211";"6";"0";"<p>Дамска рокля изработена от много финна и лека материя, страхотна за летния елегантен стайлинг. </p><p>30° Пране</p><p>Полиестер 95%  <br>Еластан 5%</p>";"http://www.testshop.bg/damska-roklia-s-dalboko-dekolte-v-cherno-figl-m135.html"
"5990";"1";"Официална рокля TOP SECRET металик";"zheni > rokli";"6486";"8237";"6";"0";"<p>Дамска рокля изработена от лъскава материя. </p><p>Много подходяща за специални поводи, съчетайте с обувки на висок ток. </p><p>100% Полиестер. </p><p>Модела носи размер 36 и е висок 178 см. </p>";"http://www.testshop.bg/damska-roklia-top-secret-ssu1497.html"
"5991";"1";"Мъжки пуловер TOP SECRET NAVY II";"myzhe > myzhki puloveri";"34813";"44212";"6";"0";"<p>Мъжки стилен пуловер в тъмносиньо. Модела е изработен от мека на допир материя, подходящ за студените дни. Съчетайте с дънки или панталон за вашето ежедневие. </p><p>100% Памук. </p>";"http://www.testshop.bg/mazki-pulover-top-secret-navy-ii.html"
"5992";"1";"Дамска палто TROLL GREEN TPZ0070";"zheni > palta";"4568";"5801";"6";"0";"<p>Дамско палто с големи копчета и джобове. </p><p>Идеално за свежия пролетен стайлинг. </p><p>100% Памук. </p>";"http://www.testshop.bg/damska-palto-troll-green-tpz0070.html"
"5993";"1";"Бикини Kami Figi";"beljo > bikini";"23977";"30451";"6";"0";"<p>- Предна част - микрофибър в цвят сметана <br>- Задна част комбинация от микрофибър и еластична дантела</p>";"http://www.testshop.bg/stilni-bikini-kami-v-tzviat-smetana.html"
"5994";"1";"Дамска риза на цветя Top Secret";"zheni > rizi";"22574";"28669";"6";"0";"<p>Дамска стилна риза, изработена от ефирен плат с флорални мотиви. </p><p>Удобен и практичен модел, съчетайте я с панталон или пола. </p><p> </p><p>100% Вискоза. </p><p>Моделът носи 34 размер и е висок 172 см. </p>";"http://www.testshop.bg/lady-s-shirt-long-sleeve-skl2093.html"
"5995";"1";"Дамска цветна рокля РАДЕКС";"zheni > rokli";"29692";"37709";"6";"0";"<p>100% вискоза</p>";"http://www.testshop.bg/damska-tzvetna-roklia-radeks.html"
"5996";"1";"Дамска тениска TOP SECRET SPO2736";"zheni > teniski";"37475";"47593";"6";"0";"<p>Дамска тениска с бродерия на лицевата част. </p><p>Идеална за ежедневния стайлинг в комбинация с дънки или клин. </p><p>Моделът носи размер 36 и е висок 175 см. </p><p>18% Вискоза, 77% Полиестер, 5% Метални нишки. </p>";"http://www.testshop.bg/damska-teniska-top-secret-spo2736.html"
"5997";"1";"Дамска жилетка TOP SECRET SSW1881";"zheni > zhiletki";"8216";"10434";"6";"0";"<p>Дамска дълга плетена жилетка без закопчаване. </p><p>Много стилна, подходяща за ежедневния стайлинг. </p><p>Съчетаите с панталон или пола. </p><p>85% Акрил, 15% Полиамид. </p><p>Модела носи размер 36 и е висок 178 см. </p><p> </p><p> </p>";"http://www.testshop.bg/damska-ziletka-top-secret-ssw1881.html"
"5998";"1";"Мъжка риза TOP SECRET GREEN SKL2174";"myzhe > myzhki rizi";"26808";"34046";"6";"0";"<p>Елегантна мъжка риза от мек плат. </p><p>Изключително стилна, перфектна за специални поводи, както и ежедневния стайлинг. </p><p>Съчетайте с панталон или дънки. </p><p>100% Памук</p>";"http://www.testshop.bg/mazka-riza-top-secret-green-skl2174.html"
"5999";"1";"Дамска блуза с паднали рамене в тъмносиньо Katrus K133 Navy L";"zheni > bluzi";"16395";"20822";"6";"0";"<p>Дамска ежедневна блуза в тъмносиньо с падлани рамене. Моделът е изработен от мека на допир материя, подходяща за ежцедневието. </p><p>30° Пране. </p>";"http://www.testshop.bg/damska-bluza-s-padnali-ramene-v-tamnosino-katrus-k133-navy-l.html"
"6000";"1";"Мъжко кожено яке TOP SECRET SKU0584";"myzhe > myzhki jaketa";"25447";"32318";"6";"0";"<p>Мъжко кожено яке в черно. Модела е изработен от еко кожа, страхотен в съчетание с дънки или панталон. </p><p>100% Полиуретан. </p><p>Моделът носи М размер и е висок 187 см. </p><p> </p>";"http://www.testshop.bg/mazko-kozeno-iake-top-secret-sku0584.html"
"6001";"1";"Мъжка риза TOP SECRET SKL1832";"myzhe > myzhki rizi";"20201";"25655";"6";"0";"<p>Мъжка стилна риза в синьо каре. </p><p>Модела е изработен от мек памук с класическа кройка. </p><p>Съчетайте я с дънки или панталон. </p><p>100% Памук. </p><p> </p>";"http://www.testshop.bg/mazka-riza-top-secret-skl1832.html"
"6002";"1";"Ежедневна дамска рокля Радекс с дълъг ръкав";"zheni > rokli";"31887";"40496";"6";"0";"<p>Състав: 83% вискоза, 14% акрил, 3% еластан</p><p>Оригинале";"http://www.testshop.bg/bg-product-details-1102.html"
"6003";"1";"Бикини Shirley Figi Big";"beljo > bikini";"38035";"48305";"6";"0";"<p>Невероятно удобни дамски бикини за жени от всички възрасти. Комбинация от черна дантела и микрофибър на точки в предната част. Задна част от микрофибър на точки. Между дантелата и микрофибъра - елегантни панделки в цвета на точките. </p>";"http://www.testshop.bg/stilni-bikini-shirley-dalboki-v-tzviat-cherno-sino.html"
"6004";"1";"Дамски стилен панталон TOP SECRET SSP2248";"izcherpani produkti";"14574";"18509";"6";"0";"<p>Дамски стилен панталон в бяло. Модела е с класическа кройка, изработен от мек плат. С предни джобове, стеснен в крачолите, за една изтънчена визия. </p><p>97% Памук, 3%Еластан. </p><p> </p>";"http://www.testshop.bg/damski-stilen-pantalon-top-secret-ssp2248.html"
"6005";"1";"Дамска блуза с панделка на гърба в розово Katrus K199 Pink L";"zheni > bluzi";"4177";"5305";"6";"0";"<p>Дамска блуза в розово, с черна панделка на гърба. Моделът е подходящ за ежедневието, сичетайте с дънки. </p><p>30° Пране. </p>";"http://www.testshop.bg/damska-bluza-s-pandelka-na-garba-v-rozovo-katrus-k199-pink-l.html"
"6006";"1";"Дамско пролетно палто в масленозелено Venaton";"zheni > palta";"27368";"34757";"6";"0";"<p>Дамско пролетно палто в масленозелено. Модела е изработен от висококачествена материя, страхотно за пролетта или есента. </p><p>30° Пране. </p>";"http://www.testshop.bg/damsko-proletno-palto-v-maslenozeleno-venaton.html"
"6007";"1";"Дамски ефирен панталон TOP SECRET SSP2015";"zheni > pantaloni";"21772";"27651";"6";"0";"<p>Дамски ефирен панталон. Модела е изработен от мека тънка материя, идеален за летния сезон. Панталона е с разкроена удобна кройка, която доставя комфорт през целия ден. Съчетайте го с топ или риза. </p><p>100% Вискоза. </p><p>Моделът носи 36 размер и е висок 176см. </p><p> </p>";"http://www.testshop.bg/damski-efiren-pantalon-top-secret-ssp2015.html"
"6008";"1";"Дамски топ с цветни мотиви в тъмносиньо Katrus K139";"zheni > potnici";"32978";"41882";"6";"0";"<p>Дамски топ изработен от финна и лека материя. Страхотен за летния ежедневен стайлинг. </p><p>30° Пране</p>";"http://www.testshop.bg/damski-top-s-tzvetni-motivi-v-tamnosino-katrus-k139.html"
"6009";"1";"Дамски тренчкот TOP SECRET SKU0760";"zheni > jaketa";"6220";"7899";"6";"0";"<p>Дамски стилен тренчкот в розово. Модела е изработен от мека на допир материя, страхотен за пролетния сезон. Съчетайте с дънки или рокля. </p><p>100% Полиестер. </p>";"http://www.testshop.bg/lady-s-jacket-sku0760.html"
"6010";"1";"Дамска полупрозрачна блуза TROLL WHITE";"zheni > bluzi";"28540";"36246";"6";"0";"<p>Дамска полупрозрачна блуза. </p><p>Много стилна и модерна, идеална за ежедневния или нощен стайлинг. </p><p>В комбинация с дънки или панталон излгевда невероятно. </p><p>100% Полиестер. </p><p> </p>";"http://www.testshop.bg/damska-poluprozrachna-bluza-troll-white.html"
"6011";"1";"Дамска свободна блуза в тъмносиньо Katrus K165 Navy";"zheni > bluzi";"14207";"18043";"6";"0";"<p>Дамска свободна блуза в тъмносиньо. Моделът е подходящ за ежедневиетом страхотна за летния сезон. </p><p>30° Пране. </p>";"http://www.testshop.bg/damska-svobodna-bluza-v-tamnosino-katrus-k165-navy.html"
